DEVICE_NAME,DEVICE_TYPE,NODE,GW_NUMBER,ORG_NAME,ORG_ID,INTERNET_INTERFACE,MPLS_INTERFACE,LCC,VXLAN_IP,ESP_IP,PAIRED_TVI_SUBNET,NNI1_INTERFACE_ADDRESS,NNI1_SUBNET,NNI1_GATEWAY_ADDRESS,AUTH_KEY,AUTH_STRING,LOG_COLLECTOR1_ADDRESS,LOG_COLLECTOR2_ADDRESS
NV-GW01-N2-BLR,GW,,1,AADEC26,202,vni-0/1.454,vni-0/1.464,91,30.202.2.1,40.202.2.1,,193.202.1.2,193.202.1.0/30,193.202.1.1,1234,NV-GW01-N2-BLR@AADEC26.com,10.91.116.71,10.91.116.72
NV-GW01-N2-BLR,GW,,1,JAN18,217,vni-0/1.454,vni-0/1.464,91,30.217.2.1,40.217.2.1,,193.217.1.2,193.217.1.0/30,193.217.1.1,1234,NV-GW01-N2-BLR@JAN18.com,10.91.116.71,10.91.116.72
NV-GW02-N2-BLR,GW,,2,JAN18,217,vni-0/1.455,vni-0/1.465,91,30.217.2.2,40.217.2.2,,193.217.2.2,193.217.2.0/30,193.217.2.1,1234,NV-GW01-N2-BLR@JAN18.com,10.91.116.71,10.91.116.72
NV-GW01-N4-MUM,GW,,1,JAN18,217,vni-0/1.411,vni-0/1.412,1091,50.217.4.1,60.217.4.1,,193.217.9.2,193.217.9.0/30,193.217.9.1,1234,NV-GW01-N4-MUM@JAN18.com,10.91.116.71,10.91.116.72
NV-GW02-N4-MUM,GW,,2,JAN18,217,vni-0/1.409,vni-0/1.410,1091,50.217.4.2,60.217.4.2,,193.217.10.2,193.217.10.0/30,193.217.10.1,1234,NV-GW02-N4-MUM@JAN18.com,10.91.116.71,10.91.116.72
,,,,,,,,,,,,,,,,,,
NV-GW01-N2-BLR,GW,,1,JAN23,110,vni-0/1.454,vni-0/1.464,91,30.110.2.1,40.110.2.1,,193.110.1.2,193.110.1.0/30,193.110.1.1,1234,NV-GW01-N2-BLR@JAN23.com,10.91.116.71,10.91.116.72
NV-GW02-N2-BLR,GW,,2,JAN23,110,vni-0/1.455,vni-0/1.465,91,30.110.2.2,40.110.2.2,,193.110.2.2,193.110.2.0/30,193.110.2.1,1234,NV-GW01-N2-BLR@JAN23.com,10.91.116.71,10.91.116.72
NV-GW01-N4-MUM,GW,,1,JAN23,110,vni-0/1.411,vni-0/1.412,1091,50.110.4.1,60.110.4.1,,193.110.9.2,193.110.9.0/30,193.110.9.1,1234,NV-GW01-N4-MUM@JAN23.com,10.91.116.71,10.91.116.72
NV-GW02-N4-MUM,GW,,2,JAN23,110,vni-0/1.409,vni-0/1.410,1091,50.110.4.2,60.110.4.2,,193.110.10.2,193.110.10.0/30,193.110.10.1,1234,NV-GW02-N4-MUM@JAN23.com,10.91.116.71,10.91.116.72
,,,,,,,,,,,,,,,,,,
NV-GW01-N2-BLR,GW,,1,DEMO1,120,vni-0/1.454,vni-0/1.464,91,30.120.2.1,40.120.2.1,,193.120.1.2,193.120.1.0/30,193.120.1.1,1234,NV-GW01-N2-BLR@DEMO1.com,10.91.116.71,10.91.116.72
NV-GW02-N2-BLR,GW,,2,DEMO1,120,vni-0/1.455,vni-0/1.465,91,30.120.2.2,40.120.2.2,,193.120.2.2,193.120.2.0/30,193.120.2.1,1234,NV-GW01-N2-BLR@DEMO1.com,10.91.116.71,10.91.116.72
NV-GW01-N4-MUM,GW,,1,DEMO1,120,vni-0/1.411,vni-0/1.412,1091,50.120.4.1,60.120.4.1,,193.120.9.2,193.120.9.0/30,193.120.9.1,1234,NV-GW01-N4-MUM@DEMO1.com,10.91.116.71,10.91.116.72
NV-GW02-N4-MUM,GW,,2,DEMO1,120,vni-0/1.409,vni-0/1.410,1091,50.120.4.2,60.120.4.2,,193.120.10.2,193.120.10.0/30,193.120.10.1,1234,NV-GW02-N4-MUM@DEMO1.com,10.91.116.71,10.91.116.72
