DEVICE_NAME,GW_NUMBER,ORG_NAME,ORG_ID,INTERNET_INTERFACE,MPLS_INTERFACE,LCC,VRF1_ID,VXLAN_TVI_INTERFACE,VXLAN_ADDRESS,ESP_TVI_INTERFACE,ESP_ADDRESS,PAIRED_TVI_INTERFACE1,PAIRED_TVI_INTERFACE2,PTVI_INTERFACE1,PTVI_INTERFACE2,VNF_GATEWAY_HOSTNAME,NNI1_VLAN,NNI1_INTERFACE_ADDRESS,NNI1_SUBNET,NNI1_GATEWAY_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING,WAN_CONTROLLER1_ESP_ADDRESS,WAN_CONTROLLER2_ESP_ADDRESS,WAN_CONTROLLER1_HOSTNAME,WAN_CONTROLLER1_VXLAN_ADDRESS,WAN_CONTROLLER2_HOSTNAME,WAN_CONTROLLER2_VXLAN_ADDRESS,WAN_CONTROLLER1_AUTH_KEY,WAN_CONTROLLER1_AUTH_STRING,WAN_CONTROLLER2_AUTH_KEY,WAN_CONTROLLER2_AUTH_STRING,LOG_COLLECTOR1_ADDRESS,LOG_COLLECTOR2_ADDRESS,LOCAL_AUTH_KEY,LOCAL_AUTH_STRING
,,,NNI1_SUBNET,193.202.1.0/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NNI1_GATEWAY_ADDRESS,193.202.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOCAL_AUTH_KEY,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOCAL_AUTH_STRING,NV-GW01-N2-BLR@AADEC26.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER1_ESP_ADDRESS,10.202.64.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER2_ESP_ADDRESS,10.202.64.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER1_HOSTNAME,NV-WC01-N2-BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER1_VXLAN_ADDRESS,10.202.0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER2_HOSTNAME,NV-WC02-N2-BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER2_VXLAN_ADDRESS,10.202.0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER1_AUTH_KEY,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER1_AUTH_STRING,NV-WC01-N2-BLR@AADEC26.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER2_AUTH_KEY,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WAN_CONTROLLER2_AUTH_STRING,NV-WC02-N2-BLR@AADEC26.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOG_COLLECTOR1_ADDRESS,10.91.116.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOG_COLLECTOR2_ADDRESS,10.91.116.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOCAL_AUTH_KEY,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOCAL_AUTH_STRING,NV-GW01-N2-BLR@AADEC26.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
