NAME,ORG_NAME,VPN_PROFILE
NV-WC01-N3-GGN,IPC00153,IPC00153-PostStaging
NV-GW01-N3-GGN,IPC00153,GW-CTRL1
NV-GW02-N3-GGN,IPC00153,GW-CTRL1
NV-WC01-N1-HKG,IPC00171,IPC00171-PostStaging
NV-WC01-N6-SIN,IPC00171,IPC00171-PostStaging
NV-WC01-N6-SIN,IPC00171,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00171,GW-CTRL1
NV-GW01-N6-SIN,IPC00171,GW-CTRL1
NV-GW02-N1-HKG,IPC00171,GW-CTRL1
NV-GW02-N6-SIN,IPC00171,GW-CTRL1
CPE-14,IPC00172,NV-WC01-N6-SIN-Profile
CPE-34,IPC00172,NV-WC01-N6-SIN-Profile
CPE-35,IPC00172,NV-WC01-N6-SIN-Profile
CPE-46,IPC00172,NV-WC01-N1-HKG-Profile
CPE1-SIN-HYBRID,IPC00172,NV-WC01-N6-SIN-Profile
CPE16-SIN-MPLSONLY,IPC00172,NV-WC01-N6-SIN-Profile
CPE22HKG-HYBRID,IPC00172,NV-WC01-N1-HKG-Profile
CPE23-SIN-HYBRID,IPC00172,NV-WC01-N6-SIN-Profile
CPE32-SIN-MPLSONLY,IPC00172,NV-WC01-N6-SIN-Profile
CPE34-HKG-DUAL-HYBRID-MPLS-PRIMARY,IPC00172,NV-WC01-N1-HKG-Profile
CPE34-SIN-DUAL-HYBRID-MPLS-PRIMARY,IPC00172,NV-WC01-N6-SIN-Profile
CPE35-HKG-DUAL-HYBRID-INT-SECONDARY,IPC00172,NV-WC01-N1-HKG-Profile
CPE35-SIN-DUAL-HYBRID-INT-SECONDARY,IPC00172,NV-WC01-N6-SIN-Profile
CPE4-SIN-HYBRID,IPC00172,NV-WC01-N6-SIN-Profile
CPE48-HKG-DISD1-4G,IPC00172,NV-WC01-N1-HKG-Profile
CPE5,IPC00172,NV-WC01-N1-HKG-Profile
CPE6,IPC00172,NV-WC01-N1-HKG-Profile
NV-WC01-N1-HKG,IPC00172,IPC00172-PostStaging
NV-WC01-N6-SIN,IPC00172,IPC00172-PostStaging
NV-WC01-N6-SIN,IPC00172,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00172,GW-CTRL1
NV-GW01-N6-SIN,IPC00172,GW-CTRL1
NV-GW02-N1-HKG,IPC00172,GW-CTRL1
NV-GW02-N6-SIN,IPC00172,GW-CTRL1
CPE12-SIN-INTONLY,IPC00173,NV-WC01-N6-SIN-Profile
NV-WC01-N1-HKG,IPC00173,IPC00173-PostStaging
NV-WC01-N6-SIN,IPC00173,IPC00173-PostStaging
NV-WC01-N6-SIN,IPC00173,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00173,GW-CTRL1
NV-GW01-N6-SIN,IPC00173,GW-CTRL1
NV-GW02-N1-HKG,IPC00173,GW-CTRL1
NV-GW02-N6-SIN,IPC00173,GW-CTRL1
NV-WC01-N1-HKG,IPC00174,IPC00174-PostStaging
NV-WC01-N6-SIN,IPC00174,IPC00174-PostStaging
NV-WC01-N6-SIN,IPC00174,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00174,GW-CTRL1
NV-GW01-N6-SIN,IPC00174,GW-CTRL1
NV-GW02-N1-HKG,IPC00174,GW-CTRL1
NV-GW02-N6-SIN,IPC00174,GW-CTRL1
NV-WC01-N1-HKG,IPC00175,IPC00175-PostStaging
NV-WC01-N6-SIN,IPC00175,IPC00175-PostStaging
NV-WC01-N6-SIN,IPC00175,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00175,GW-CTRL1
NV-GW01-N6-SIN,IPC00175,GW-CTRL1
NV-GW02-N1-HKG,IPC00175,GW-CTRL1
NV-GW02-N6-SIN,IPC00175,GW-CTRL1
NV-WC01-N1-HKG,IPC00176,IPC00176-PostStaging
NV-GW01-N1-HKG,IPC00176,GW-CTRL1
NV-GW02-N1-HKG,IPC00176,GW-CTRL1
NV-GW02-N1-HKG,IPC00186,GW-CTRL1
NV-WC01-N1-HKG,IPC00188,IPC00188-PostStaging
NV-WC01-N6-SIN,IPC00188,IPC00188-PostStaging
NV-WC01-N6-SIN,IPC00188,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-WC01-N1-HKG,IPC00189,IPC00189-PostStaging
NV-WC01-N6-SIN,IPC00189,IPC00189-PostStaging
NV-WC01-N6-SIN,IPC00189,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00189,GW-CTRL1
NV-GW01-N6-SIN,IPC00189,GW-CTRL1
NV-GW02-N1-HKG,IPC00189,GW-CTRL1
NV-GW02-N6-SIN,IPC00189,GW-CTRL1
CPE-34-HKG-DUAL-HYBRID-MPLS,IPC00190,NV-WC01-N1-HKG-Profile
CPE-35-HKG-DUAL-HYBRID-INT,IPC00190,NV-WC01-N1-HKG-Profile
CPE11-HKG-INT-IPC00190,IPC00190,NV-WC01-N1-HKG-Profile
CPE11-HKG-MPLS-IPC00190,IPC00190,NV-WC01-N1-HKG-Profile
CPE25-Performance-DUT,IPC00190,NV-WC01-N1-HKG-Profile
CPE26-HKG2-DUAL-HYB,IPC00190,NV-WC01-N1-HKG-Profile
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,IPC00190,NV-WC01-N6-SIN-Profile
CPE31-Performance-810,IPC00190,NV-WC01-N1-HKG-Profile
CPE32-SIN-MPLSONLY-90,IPC00190,NV-WC01-N6-SIN-Profile
CPE45-VoIP,IPC00190,NV-WC01-N1-HKG-Profile
NV-WC01-N1-HKG,IPC00190,IPC00190-PostStaging
NV-WC01-N6-SIN,IPC00190,IPC00190-PostStaging
NV-WC01-N6-SIN,IPC00190,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00190,GW-CTRL1
NV-GW01-N6-SIN,IPC00190,GW-CTRL1
NV-GW02-N1-HKG,IPC00190,GW-CTRL1
NV-GW02-N6-SIN,IPC00190,GW-CTRL1
NV-WC01-N1-HKG,IPC00191,IPC00191-PostStaging
NV-WC01-N6-SIN,IPC00191,IPC00191-PostStaging
NV-WC01-N6-SIN,IPC00191,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00191,GW-CTRL1
NV-GW01-N6-SIN,IPC00191,GW-CTRL1
NV-GW02-N6-SIN,IPC00191,GW-CTRL1
NV-WC01-N1-HKG,IPC00192,IPC00192-PostStaging
NV-WC01-N6-SIN,IPC00192,IPC00192-PostStaging
NV-WC01-N6-SIN,IPC00192,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N6-SIN,IPC00192,GW-CTRL1
NV-GW02-N1-HKG,IPC00192,GW-CTRL1
NV-GW02-N6-SIN,IPC00192,GW-CTRL1
NV-WC01-N1-HKG,IPC00193,IPC00193-PostStaging
NV-WC01-N6-SIN,IPC00193,IPC00193-PostStaging
NV-WC01-N6-SIN,IPC00193,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-GW01-N1-HKG,IPC00193,GW-CTRL1
NV-GW01-N6-SIN,IPC00193,GW-CTRL1
NV-GW02-N1-HKG,IPC00193,GW-CTRL1
NV-GW02-N6-SIN,IPC00193,GW-CTRL1
NV-WC01-N1-HKG,Manish-Test1,Manish-Test1-PostStaging
NV-WC01-N6-SIN,Manish-Test1,Manish-Test1-PostStaging
NV-WC01-N6-SIN,Manish-Test1,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-WC01-N1-HKG,Manish-Test2,Manish-Test2-PostStaging
NV-WC01-N6-SIN,Manish-Test2,Manish-Test2-PostStaging
NV-WC01-N6-SIN,Manish-Test2,NV-WC01-N6-SIN-to-NV-WC01-N1-HKG-Profile
NV-WC01-N3-GGN,SAMPLE1,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,SAMPLE1,SAMPLE1-PostStaging
NV-WC01-N3-GGN,SAMPLE15,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,SAMPLE15,SAMPLE15-PostStaging
NV-WC01-N3-GGN,SAMPLE195,SAMPLE195-PostStaging
NV-WC01-N3-GGN,SAMPLE196,SAMPLE196-PostStaging
NV-WC01-N3-GGN,SAMPLE197,SAMPLE197-PostStaging
NV-WC01-N3-GGN,SAMPLE200,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,SAMPLE200,SAMPLE200-PostStaging
NV-WC01-N3-GGN,SAMPLE3,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,SAMPLE3,SAMPLE3-PostStaging
NV-WC01-N3-GGN,SAMPLE4,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,SAMPLE4,SAMPLE4-PostStaging
NV-WC01-N3-GGN,TEST45,TEST45-PostStaging
NV-WC01-N3-GGN,TEST46,TEST46-PostStaging
NV-WC01-N3-GGN,TEST-NC,NV-WC01-N3-GGN-to-NV-WC02-N3-GGN-Profile
NV-WC01-N3-GGN,TEST-NC,TEST-NC-PostStaging
